.\datasets\images\10010052.jpg| A girl is on rollerskates talking on her cellphone standing in a parking lot .,,,,,,,,,| A trendy girl talking on her cellphone while gliding slowly down the street .,,,,,,,,,| A young adult wearing rollerblades , holding a cellular phone to her ear .,,,,,,,,| there is a young girl on her cellphone while skating .,,,,,,,,,| Woman talking on cellphone and wearing rollerskates .,,,,,,,,,
.\datasets\images\1001465944.jpg| An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .,,,,,,,,,| Three people are standing outside near large pipes and a metal railing .,,,,,,,,,| A young woman walks past two young people dressed in hip black outfits .,,,,,,,,,| A woman with a large purse is walking by a gate .,,,,,,,,,| Several people standing outside a building .,,,,,,,,,
.\datasets\images\1001545525.jpg| Two men in Germany jumping over a rail at the same time without shirts .,,,,,,,,,| Two youths are jumping over a roadside railing , at night .,,,,,,,,| Boys dancing on poles in the middle of the night .,,,,,,,,,| Two men with no shirts jumping over a rail .,,,,,,,,,| two guys jumping over a gate together,,,,,,,,,
.\datasets\images\1001773457.jpg| A black dog and a white dog with brown spots are staring at each other in the street .,,,,,,,,,| A black dog and a tri-colored dog playing with each other on the road .,,,,,,,,,| Two dogs of different breeds looking at each other on the road .,,,,,,,,,| Two dogs on pavement moving toward each other .,,,,,,,,,| A black dog and a spotted dog are fighting,,,,,,,,,
.\datasets\images\1003163366.jpg| a man sleeping on a bench outside with a white and black dog sitting next to him .,,,,,,,,,| A man lays on the bench to which a white dog is also tied .,,,,,,,,,| man laying on bench holding leash of dog sitting on ground,,,,,,,,,| A shirtless man lies on a park bench with his dog .,,,,,,,,,| A man lays on a bench while his dog sits by him .,,,,,,,,,
.\datasets\images\1003428081.jpg| Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument .,,,,,,,| At least four instrumentalists play clarinets and other instruments in a curtained room .,,,,,,,,,| Four women in a living room , three of which are clearly playing a musical instrument .,,,,,,,,| A bunch of elderly women play their clarinets together as they read off sheet music .,,,,,,,,,| A group of four women , are performing music on their instruments .,,,,,,,,
.\datasets\images\100444898.jpg| A person in gray stands alone on a structure outdoors in the dark .,,,,,,,,,| A large structure has broken and is laying in a roadway .,,,,,,,,,| A man in a gray coat is standing on a washed out bridge .,,,,,,,,,| A man stands on wooden supports and surveys damage .,,,,,,,,,| A man in a jacket and jeans standing on a bridge .,,,,,,,,,
.\datasets\images\1006452823.jpg| two children , a girl and a boy are practicing their writing .,,,,,,,,| Two children sit on a small seesaw in the sand .,,,,,,,,,| Two children sitting on a teeter totter .,,,,,,,,,| 2 kids playing on a seesaw,,,,,,,,,| Two kids sit on a seesaw .,,,,,,,,,
.\datasets\images\101093029.jpg| A person in tan pants is inside a silver mobile object while people watch .,,,,,,,,,| People are watching a person in a weird vehicle in a plaza .,,,,,,,,,| A man in a blue shirt driving a Segway type vehicle .,,,,,,,,,| a showing of product to advertise,,,,,,,,,| A crowd admiring modern art ?,,,,,,,,,
.\datasets\images\101262930.jpg| Two asian or spanish people , a woman and a man , sitting together in front of a glass window as cars pass .,,,,,,,| A man in sunglasses puts his arm around a woman in a black and white blouse .,,,,,,,,,| A man in sunglasses puts his arm around a woman .,,,,,,,,,| A man and woman pose in front of some traffic .,,,,,,,,,| An Asian couple sitting on the bench .,,,,,,,,,
.\datasets\images\101559400.jpg| Men in the business suits are crossing the street , and there are people with placards are gathering on the street .,,,,,,,,| A man in a suit runs across an intersection while a large group of people assembles .,,,,,,,,,| A man in a suit is running past two other gentleman , also dressed in a suit .,,,,,,,,| A man in a suit is hurrying across the street .,,,,,,,,,| A man in a suit is running across the street .,,,,,,,,,
.\datasets\images\10160966.jpg| A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .,,,,,,,,,| A guy in shorts and a white t-shirt sits on the ground in front of a grill with hotdogs on it .,,,,,,,,,| A young man in sunglasses holds a blue cup next to a grill with sausages .,,,,,,,,,| A young man , wearing a white shirt , prepares hotdogs on a small grill .,,,,,,,| A man is holding his cup while he grills hotdogs .,,,,,,,,,
