.\datasets\images\1001465944.jpg| An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .,,,,,,,,,| Three people are standing outside near large pipes and a metal railing .,,,,,,,,,| A young woman walks past two young people dressed in hip black outfits .,,,,,,,,,| A woman with a large purse is walking by a gate .,,,,,,,,,| Several people standing outside a building .,,,,,,,,,
.\datasets\images\1003163366.jpg| a man sleeping on a bench outside with a white and black dog sitting next to him .,,,,,,,,,| A man lays on the bench to which a white dog is also tied .,,,,,,,,,| man laying on bench holding leash of dog sitting on ground,,,,,,,,,| A shirtless man lies on a park bench with his dog .,,,,,,,,,| A man lays on a bench while his dog sits by him .,,,,,,,,,
.\datasets\images\100577935.jpg| A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .,,,,,,,,,| A man is putting a tattoo on a another 's man upper back .,,,,,,,,,| A man with a black shirt giving another man a tattoo .,,,,,,,,,| A man is putting tattoo on his back .,,,,,,,,,| A man getting a tattoo on his back .,,,,,,,,,
.\datasets\images\10082348.jpg| A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .,,,,,,,,,| A man is wearing a ball cap and holding a coffee cup between to urinals .,,,,,,,,,| a man is posing next to a urinal with a cup of coffee .,,,,,,,,,| A man holds a coffee cup while in the bathroom .,,,,,,,,,| A man standing at a urinal with a coffee cup .,,,,,,,,,
.\datasets\images\100845130.jpg| Five people walking with a multicolored sky in the background .,,,,,,,,,| Four people walking through the sunset in clear blue skies .,,,,,,,,,| Four people walking with the sun setting behind them .,,,,,,,,,| Four silhouettes decorate the horizon 's sunset .,,,,,,,,,| A group of people walking as the sun sets .,,,,,,,,,
.\datasets\images\1010673430.jpg| A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .,,,,,,,,,| Two young children eating a snack and playing in the grass .,,,,,,,,,| Two young toddlers outside on the grass .,,,,,,,,,| Two infants are at play in the yard .,,,,,,,,,| 2 female babies eating chips .,,,,,,,,,
.\datasets\images\1012212859.jpg| White dog with brown ears standing near water with head turned to one side .,,,,,,,,,| Dog with orange ball at feet , stands on shore shaking off water,,,,,,,,| A white dog shakes on the edge of a beach with an orange ball .,,,,,,,,,| White dog playing with a red ball on the shore near the water .,,,,,,,,,| A dog shakes its head near the shore , a red ball next to it .,,,,,,,,
.\datasets\images\101362133.jpg| A young female student performing a downward kick to break a board held by her Karate instructor .,,,,,,,,,| Girl about to kick a piece of wood in half while karate instructor holds it,,,,,,,,,| A girl kicking a stick that a man is holding in tae kwon do class .,,,,,,,,,| A girl in karate uniform breaking a stick with a front kick .,,,,,,,,,| A girl breaking boards by using karate .,,,,,,,,,
.\datasets\images\101471792.jpg| A man with a red jacket is shielding himself from the sun trying to read a piece of paper .,,,,,,,,,| a man wearing a red coat is outside with his hand over his head to block out the sun .,,,,,,,,,| A man in a red jacket shades the sun from his eyes on a busy street .,,,,,,,,,| An elderly man in a red jacket shielding his face from the sun .,,,,,,,,,| Man in red jacket shielding face from the sun to read .,,,,,,,,,
.\datasets\images\1016626169.jpg| Man on scooter attracts attention from some of those in large crowd .,,,,,,,,,| A crowd is standing and waiting for the green light .,,,,,,,,,| People stop and look at an older woman outside .,,,,,,,,,| A crowd of people waiting to cross a street .,,,,,,,,,| A crowd of people waiting for the light .,,,,,,,,,
